question,model_provider,seq,function_status,performance_status,run_1_status,run_1_total_ms,run_1_max_ram_mb,run_2_status,run_2_total_ms,run_2_max_ram_mb,avg_of_runs_total_ms,avg_of_runs_total_seconds,max_ram_mb,input_url,validation_message,first_execution_error
car_position,openai+gpt-5-mini,1,success,passed,passed,27623.06309,66,passed,28869.72284,65,28246.39297,28.24639297,66,,OK,
car_position,openai+gpt-5-mini,2,success,passed,passed,24447.14499,66,passed,22233.76799,64,23340.45649,23.34045649,66,,OK,
car_position,openai+gpt-5-mini,3,success,passed,passed,23626.70898,65,passed,26413.80501,65,25020.257,25.020257,65,,OK,
car_position,openai+gpt-5-mini,4,success,passed,passed,28002.99072,68,passed,26238.53493,65,27120.76283,27.12076283,68,,OK,
car_position,openai+gpt-5-mini,5,success,passed,passed,29153.12576,67,passed,28730.67427,67,28941.90001,28.94190001,67,,OK,
car_position,openai+gpt-5-mini,6,success,passed,passed,27515.01608,65,passed,27566.03694,65,27540.52651,27.54052651,65,,OK,
car_position,openai+gpt-5-mini,7,success,passed,passed,26705.81222,67,passed,26005.55801,65,26355.68511,26.35568511,67,,OK,
car_position,openai+gpt-5-mini,8,success,passed,passed,26945.36805,66,passed,25614.6853,66,26280.02667,26.28002667,66,,OK,
car_position,openai+gpt-5-mini,9,success,passed,passed,26302.92702,65,passed,27714.1881,65,27008.55756,27.00855756,65,,OK,
car_position,openai+gpt-5-mini,10,success,passed,passed,52335.64591,67,passed,662407.6221,67,357371.634,357.371634,67,,OK,
car_position,openai+gpt-5.2,1,success,passed,passed,24725.01802,64,passed,22905.42483,64,23815.22143,23.81522143,64,,OK,
car_position,openai+gpt-5.2,2,success,passed,passed,28025.24996,66,passed,27732.38611,66,27878.81804,27.87881804,66,,OK,
car_position,openai+gpt-5.2,3,success,passed,passed,23068.40992,64,passed,23136.14488,64,23102.2774,23.1022774,64,,OK,
car_position,openai+gpt-5.2,4,success,passed,passed,23536.53002,64,passed,25202.49796,66,24369.51399,24.36951399,66,,OK,
car_position,openai+gpt-5.2,5,success,passed,passed,33580.52206,70,passed,76034.53875,70,54807.5304,54.8075304,70,,OK,
car_position,openai+gpt-5.2,6,success,passed,passed,26016.52694,65,passed,23916.31293,64,24966.41994,24.96641994,65,,OK,
car_position,openai+gpt-5.2,7,success,passed,passed,29251.17111,69,passed,29912.55188,69,29581.8615,29.5818615,69,,OK,
car_position,openai+gpt-5.2,8,success,passed,passed,28401.03984,67,passed,26171.02575,67,27286.0328,27.2860328,67,,OK,
car_position,openai+gpt-5.2,9,success,passed,passed,27297.66679,68,passed,26921.17095,68,27109.41887,27.10941887,68,,OK,
car_position,openai+gpt-5.2,10,success,passed,passed,25535.74991,63,passed,28848.44732,63,27192.09862,27.19209862,63,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,1,success,passed,passed,28022.59612,62,passed,26190.58418,63,27106.59015,27.10659015,63,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,2,success,passed,passed,25787.64796,62,passed,25596.59004,62,25692.119,25.692119,62,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,3,success,passed,passed,22664.51478,65,passed,22192.67726,64,22428.59602,22.42859602,65,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,4,success,passed,passed,25046.29707,64,passed,24866.36114,64,24956.32911,24.95632911,64,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,5,success,passed,passed,23184.07607,66,passed,24895.43486,66,24039.75546,24.03975546,66,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,6,success,passed,passed,27445.02664,63,passed,25425.354,62,26435.19032,26.43519032,63,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,7,success,passed,passed,25794.56186,63,passed,26863.06787,62,26328.81486,26.32881486,63,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,8,success,passed,passed,27246.83428,64,passed,29715.33394,64,28481.08411,28.48108411,64,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,9,success,passed,passed,24689.3568,63,passed,24908.18501,65,24798.7709,24.7987709,65,,OK,
car_position,router/openrouter+anthropic/claude-opus-4.5,10,success,passed,passed,24845.18504,62,passed,27612.95199,62,26229.06852,26.22906852,62,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,1,success,passed,passed,23715.03377,63,passed,21452.22688,63,22583.63032,22.58363032,63,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,2,success,passed,passed,19088.98497,64,passed,18017.71998,64,18553.35248,18.55335248,64,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,3,success,passed,passed,21701.86996,63,passed,21569.44609,63,21635.65803,21.63565803,63,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,4,success,passed,passed,25564.95214,63,passed,23555.43518,63,24560.19366,24.56019366,63,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,5,success,passed,passed,18092.02194,65,passed,19731.18019,63,18911.60107,18.91160107,65,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,6,success,passed,passed,18364.02798,64,passed,18152.68612,63,18258.35705,18.25835705,64,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,7,success,passed,passed,23583.07505,62,passed,22803.44605,62,23193.26055,23.19326055,62,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,8,success,passed,passed,18876.13392,63,passed,18137.61902,63,18506.87647,18.50687647,63,,OK,
car_position,router/openrouter+anthropic/claude-sonnet-4.5,9,mixed,mixed,passed,24019.18483,62,error,22565.84501,,23292.51492,23.29251492,62,,OK,"ResponseStreamingError: An error occurred while reading from response stream: ('Connection broken: IncompleteRead(0 bytes read, 356637 more expected)', IncompleteRead(0 bytes read, 356637 more expected))"
car_position,router/openrouter+anthropic/claude-sonnet-4.5,10,timeout,error,error,136807.7102,63,error,120631.3343,63,128719.5222,128.7195222,63,,136/136 executions failed,RequestId: c53c4a2c-f531-42cc-b448-605f521e5151 Error: Task timed out after 120.00 seconds
car_position,router/openrouter+google/gemini-3-flash-preview,1,success,passed,passed,25782.14216,63,passed,23240.87977,63,24511.51097,24.51151097,63,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,2,success,passed,passed,25241.6389,63,passed,24576.3948,63,24909.01685,24.90901685,63,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,3,success,passed,passed,23434.63492,64,passed,23263.29184,63,23348.96338,23.34896338,64,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,4,success,passed,passed,25665.00616,62,passed,25777.31991,62,25721.16303,25.72116303,62,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,5,success,passed,passed,26493.52503,63,passed,24034.22403,63,25263.87453,25.26387453,63,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,6,success,passed,passed,23489.89105,63,passed,24857.62906,63,24173.76006,24.17376006,63,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,7,success,passed,passed,25753.48902,62,passed,25915.01808,62,25834.25355,25.83425355,62,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,8,success,passed,passed,25693.4638,62,passed,25264.83202,62,25479.14791,25.47914791,62,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,9,success,passed,passed,24454.23675,63,passed,24103.35207,63,24278.79441,24.27879441,63,,OK,
car_position,router/openrouter+google/gemini-3-flash-preview,10,success,passed,passed,26651.42465,62,passed,25071.96379,62,25861.69422,25.86169422,62,,OK,
car_position,xai+grok-4-1-fast-reasoning,1,success,passed,passed,49402.43888,64,passed,46264.62007,64,47833.52947,47.83352947,64,,OK,
car_position,xai+grok-4-1-fast-reasoning,2,success,passed,passed,65055.23705,79,passed,67018.11004,79,66036.67355,66.03667355,79,,OK,
car_position,xai+grok-4-1-fast-reasoning,3,success,passed,passed,22272.55201,63,passed,21572.75796,63,21922.65499,21.92265499,63,,OK,
car_position,xai+grok-4-1-fast-reasoning,4,functional-error,failed,failed,26867.26117,65,failed,27657.58324,65,27262.4222,27.2624222,65,,Length mismatch: 49999 != 50000,
car_position,xai+grok-4-1-fast-reasoning,5,success,passed,passed,28833.19712,65,passed,28398.40674,65,28615.80193,28.61580193,65,,OK,
car_position,xai+grok-4-1-fast-reasoning,6,success,passed,passed,46575.79994,64,passed,46553.30014,63,46564.55004,46.56455004,64,,OK,
car_position,xai+grok-4-1-fast-reasoning,7,success,passed,passed,22931.43296,64,passed,21181.28729,65,22056.36013,22.05636013,65,,OK,
car_position,xai+grok-4-1-fast-reasoning,8,success,passed,passed,28694.15593,65,passed,26687.90722,65,27691.03158,27.69103158,65,,OK,
car_position,xai+grok-4-1-fast-reasoning,9,success,passed,passed,25696.63,69,passed,25289.25514,67,25492.94257,25.49294257,69,,OK,
car_position,xai+grok-4-1-fast-reasoning,10,success,passed,passed,23848.45996,63,passed,22871.1071,63,23359.78353,23.35978353,63,,OK,
AVG,,5.50,,#DIV/0!,#DIV/0!,28991.19,64.60,#DIV/0!,39284.30,64.42,34137.74,34.14,64.70,,,
STDEV,,2.90,,#DIV/0!,#DIV/0!,16156.37,2.73,#DIV/0!,83250.30,2.65,45126.33,45.13,2.71,,,
MEDIAN,,5.50,,#NUM!,#NUM!,25725.06,64.00,#NUM!,25357.30,64.00,25592.53,25.59,64.00,,,
CV,,52.66%,,#DIV/0!,#DIV/0!,55.73%,4.22%,#DIV/0!,211.92%,4.12%,132.19%,132.19%,4.19%,,,
MAX,,10.00,,0.00,0.00,136807.71,79.00,0.00,662407.62,79.00,357371.63,357.37,79.00,,,
MIN,,1.00,,0.00,0.00,18092.02,62.00,0.00,18017.72,62.00,18258.36,18.26,62.00,,,
RANGE,,9.00,,0.00,0.00,118715.69,17.00,0.00,644389.90,17.00,339113.28,339.11,17.00,,,
x Slower,,10.00,,#DIV/0!,#DIV/0!,7.56,1.27,#DIV/0!,36.76,1.27,19.57,19.57,1.27,,,
