model_provider,seq,maximum_successful_prime,function_status_200m,function_status_200m_3g,1m,10m,50m,75m,100m,125m,150m,175m,200m,1m_max_ram,10m_max_ram,50m_max_ram,75m_max_ram,100m_max_ram,125m_max_ram,150m_max_ram,175m_max_ram,200m_max_ram,200m_on3g,200m_on3g_max_ram,algorithm,evaluator_model,algorithm,evaluator_model,algorithm,evaluator_model
openai+gpt-5-mini,1,200,success,success,86.5,862,4630,6869,9295,11389.44,13397.33,15340.76,19027,46,82,225,294,392,469,554,646,731,18998.74,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,2,10,scaling-bug,scaling-bug,87.5,855,,,,,,,,46,82,82,82,82,39,39,39,82,297.78195,39,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,3,200,success,success,168,2136,11852,17870,24209.5,28366.28,33963.95,39367.98,48016.5,45,81,219,304,396,449,528,606,738,45786.27,684,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,4,175,out-of-memory,success,194.5,2463.5,13181.5,20043.5,27109,37143.02,43669.78,48917.13,,52,143,548,806,1065,1266,1510,1752,1769,58989.523,1992,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,5,200,success,success,84,832,4527.5,6721.5,9022.5,11517.7,13223.26,15541.14,18280,45,82,225,294,392,469,553,646,731,18882.059,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,6,200,success,success,84,834.5,4478.5,6755,9044,12643.7,14369.44,16762.19,18764,46,82,225,295,392,470,553,646,732,19626.908,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,7,100,out-of-memory,out-of-memory,118.5,1279.5,6546.5,9788,13210.5,,,,,58,222,834,1186,1568,1769,1769,1769,1769,4319.9316,3008,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,8,10,scaling-bug,scaling-bug,122,1500.5,,,,,,,,59,222,222,222,222,39,39,39,222,263.42224,39,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,9,200,success,success,94,895,4851.5,7229,9388.5,12229.25,13924.17,16093.99,19374.5,46,82,225,294,392,470,553,646,731,19353.756,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5-mini,10,200,success,success,87,843.5,4644.5,6851.5,9038,12800.02,15043.94,17624.65,18657.5,46,82,225,294,392,469,553,645,731,18883.764,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,1,200,success,success,90.5,806.5,4415.5,6565,8747.5,11832.37,12864.67,14975.97,17864.5,45,80,225,293,392,463,545,627,708,17841.428,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,2,100,out-of-memory,out-of-memory,115,1297,6616.5,9980,13471,,,,,58,222,834,1186,1569,1769,1769,1769,1769,4333.8477,3008,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,3,200,success,success,82,755.5,4179.5,6240,8402,11060.01,12742.83,14752.77,16915,45,80,225,293,392,463,545,627,708,17734.586,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,4,200,success,success,87.5,841.5,4661.5,6791,9214,11052.25,12668.51,14747.92,19321.5,45,80,225,293,392,463,545,627,708,17686.207,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,5,200,success,success,84,760,4213.5,6351,8419.5,11335.9,13042.39,15235.48,17064.5,45,80,225,293,392,464,545,627,708,17873.674,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,6,200,success,success,85,774,4228.5,6401.5,8478,11458.28,13196.13,15407.77,17356.5,45,80,225,293,392,463,545,627,708,17856.72,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,7,200,success,success,85,784.5,4298,6402,8448,11021.92,12647.12,14786.14,17483.5,45,80,225,293,392,463,545,627,708,17695.822,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,8,200,success,success,86.5,833,4421,6659.5,8842,11645.98,13404.92,15541.91,17948.5,45,80,225,293,392,463,545,627,708,17825.885,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,9,200,success,success,85.5,762.5,4209,6298,8355,11047.62,12668.01,14784.27,17109.5,45,80,225,293,392,463,545,627,708,17607.975,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
openai+gpt-5.2,10,200,success,success,84.5,779,4384.5,6511,8713,11651.33,13528.76,15670.51,18022,45,80,225,293,392,463,545,627,708,17477.469,688,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,1,175,out-of-memory,success,201.5,2358.5,12912.5,19797.5,26859.5,34082.07,39936.1,47427.86,,51,142,546,780,1023,1266,1509,1751,1769,54964.504,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,2,175,out-of-memory,success,200.5,2428.5,12684,19484.5,26553.5,34452.97,40014.11,47111.22,,51,142,546,779,1023,1266,1509,1751,1769,54961.164,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,3,175,out-of-memory,success,197.5,2319,13075.5,19821.5,27071.5,34642.59,40883.56,49697.08,,51,143,548,805,1049,1266,1508,1751,1769,55723.67,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
